#doc name topic proportion ...
0	1_ArtArchitecturePhotography	1	0.7836338418862691	0	0.21636615811373092	
1	2_ArtArchitecturePhotography	1	0.8035714285714286	0	0.19642857142857142	
2	3_ArtArchitecturePhotography	1	0.6959459459459459	0	0.30405405405405406	
3	4_ArtArchitecturePhotography	1	0.8415384615384616	0	0.15846153846153846	
4	5_ArtArchitecturePhotography	1	0.8779783393501805	0	0.1220216606498195	
5	6_ArtArchitecturePhotography	1	0.7391304347826086	0	0.2608695652173913	
6	7_Evolution	0	0.71900826446281	1	0.2809917355371901	
7	8_Evolution	0	0.6588235294117647	1	0.3411764705882353	
8	9_Evolution	0	0.7546468401486989	1	0.24535315985130113	
9	10_Evolution	0	0.9043231750531537	1	0.0956768249468462	
10	11_Evolution	0	0.8359621451104101	1	0.1640378548895899	
11	12_Evolution	0	0.885551216581556	1	0.11444878341844397	
